"Numéro cde";"Numéro facture";"Date facture";"Total TTC";"Total HT";TVA;Statut;payment
14330;13830;01/01/2024;23.850000;20.450000;3.400000;Livré;"Card via Stripe"
14331;13831;01/01/2024;101.000000;95.610000;5.390000;Livré;"Card via Stripe"
14332;13832;01/01/2024;10.850000;9.600000;1.250000;Livré;"Card via Stripe"
14333;13833;01/01/2024;23.750000;21.840000;1.910000;Livré;"Card via Stripe"
14334;13834;02/01/2024;48.850000;43.520000;5.330000;Livré;"Card via Stripe"
14338;13835;02/01/2024;5.000000;4.740000;0.260000;Livré;Espèces
14339;13836;02/01/2024;34.750000;32.370000;2.380000;Livré;"Card via Stripe"
14340;13837;02/01/2024;24.950000;22.970000;1.980000;Livré;"Card via Stripe"
14341;13838;02/01/2024;71.000000;66.940000;4.060000;Livré;PayPal
14342;13839;02/01/2024;13.450000;12.360000;1.090000;Livré;"Bancontact via Stripe"
14343;13840;03/01/2024;5.950000;4.960000;0.990000;Livré;"Card via Stripe"
14344;13841;03/01/2024;12.250000;11.220000;1.030000;Livré;"Card via Stripe"
14354;13842;03/01/2024;10.250000;9.330000;0.920000;Livré;"Card via Stripe"
14355;13843;03/01/2024;47.950000;39.960000;7.990000;Livré;"Card via Stripe"
14359;13844;03/01/2024;30.850000;28.560000;2.290000;Livré;"Card via Stripe"
14360;13845;03/01/2024;29.950000;27.710000;2.240000;Livré;"Card via Stripe"
14361;13846;03/01/2024;175.000000;165.770000;9.230000;Livré;"Card via Stripe"
14362;13847;03/01/2024;22.350000;19.420000;2.930000;Livré;"Card via Stripe"
14371;13848;04/01/2024;10.950000;9.700000;1.250000;Livré;Chèque
14370;13849;04/01/2024;42.950000;38.090000;4.860000;Livré;Chèque
14369;13850;04/01/2024;23.550000;21.640000;1.910000;Livré;Chèque
14368;13851;04/01/2024;33.550000;31.120000;2.430000;Livré;Chèque
14367;13852;04/01/2024;29.750000;27.520000;2.230000;Livré;Chèque
14366;13853;04/01/2024;31.950000;27.780000;4.170000;Livré;Chèque
14365;13854;04/01/2024;15.000000;15.000000;0.000000;Expédié;Chèque
14364;13855;04/01/2024;34.950000;32.450000;2.500000;Livré;Chèque
14363;13856;04/01/2024;102.000000;97.780000;4.220000;Livré;Chèque
14358;13857;04/01/2024;45.950000;42.591667;3.358333;Livré;Chèque
14357;13858;04/01/2024;39.850000;37.090000;2.760000;Livré;Chèque
14356;13859;04/01/2024;89.750000;85.910000;3.840000;Livré;Chèque
14353;13860;04/01/2024;100.000000;92.680000;7.320000;Livré;Chèque
14352;13861;04/01/2024;21.850000;20.030000;1.820000;Livré;Chèque
14351;13862;04/01/2024;83.950000;83.950000;0.000000;Livré;Chèque
14350;13863;04/01/2024;55.950000;52.458333;3.491667;Livré;Chèque
14349;13864;04/01/2024;28.550000;26.380000;2.170000;Livré;Chèque
14348;13865;04/01/2024;61.000000;58.210000;2.790000;Livré;Chèque
14347;13866;04/01/2024;100.000000;95.730000;4.270000;Livré;Chèque
14346;13867;04/01/2024;10.000000;9.480000;0.520000;Livré;Chèque
14345;13868;04/01/2024;75.000000;75.000000;0.000000;Expédié;Chèque
14337;13869;04/01/2024;35.000000;32.490000;2.510000;Livré;Chèque
14336;13870;04/01/2024;35.950000;33.300000;2.650000;Livré;Chèque
14335;13871;04/01/2024;47.950000;45.810000;2.140000;Livré;Chèque
14310;13872;04/01/2024;58.000000;50.050000;7.950000;Livré;Chèque
14372;13873;04/01/2024;15.950000;14.440000;1.510000;Livré;"Link via Stripe"
14373;13874;04/01/2024;41.000000;38.910000;2.090000;Livré;"Link via Stripe"
14374;13875;05/01/2024;77.000000;72.870000;4.130000;Livré;"Card via Stripe"
14375;13876;05/01/2024;8.450000;7.620000;0.830000;Livré;"Card via Stripe"
14376;13877;05/01/2024;71.200000;67.880000;3.320000;Expédié;"Link via Stripe"
14377;13878;05/01/2024;15.950000;14.440000;1.510000;Expédié;"Card via Stripe"
14378;13879;06/01/2024;23.450000;21.560000;1.890000;Livré;"Link via Stripe"
14379;13880;06/01/2024;13.450000;12.620000;0.830000;Livré;PayPal
14380;13881;06/01/2024;39.440000;39.440000;0.000000;Livré;"Card via Stripe"
14381;13882;06/01/2024;33.750000;31.310000;2.440000;Livré;"Card via Stripe"
14382;13883;07/01/2024;24.950000;22.970000;1.980000;Livré;"Card via Stripe"
14383;13884;07/01/2024;25.950000;24.270000;1.680000;Livré;"Card via Stripe"
14384;13885;07/01/2024;331.000000;314.330000;16.670000;Livré;Virement
