"Numéro cde";"N° avoir";"Date avoir";"Total TTC";"Total HT"
10871;72;03/01/2023;100.000000;100.000000
10170;73;03/01/2023;15.000000;12.520000
7078;74;24/01/2023;74.950000;62.460001
6632;75;24/01/2023;8.800000;8.341232
5035;76;24/01/2023;18.050000;16.874209
10113;77;24/01/2023;17.950000;16.630000
11020;78;27/01/2023;393.370000;372.894774
10845;79;27/01/2023;55.920000;53.008527
10263;80;27/01/2023;40.480000;38.369660
8762;81;27/01/2023;13.370000;12.678672
10845;82;27/01/2023;5.280000;5.004738
11040;83;03/02/2023;0.000000;0.000000
11046;84;03/02/2023;1100.000000;1042.654050
11202;85;21/02/2023;567.120000;537.592418
10845;86;24/02/2023;31.500000;29.861608
11222;87;24/02/2023;347.600000;329.478664
11461;88;16/03/2023;245.010000;232.261606
11020;89;16/03/2023;35.200000;33.364930
10845;90;16/03/2023;27.720000;26.274878
11299;91;05/04/2023;10.200000;10.200000
11690;92;11/04/2023;1056.420000;1001.406616
11202;93;11/04/2023;42.150000;39.954503
11020;94;11/04/2023;202.130000;191.598100
10845;95;11/04/2023;9.900000;9.383885
12065;96;01/06/2023;602.060000;570.707119
11690;97;01/06/2023;92.830000;87.999996
10845;98;01/06/2023;16.940000;16.056871
9807;99;01/06/2023;6.600000;6.255924
12181;100;20/06/2023;550.000000;521.327050
12207;101;26/06/2023;7.000000;6.406002
12321;102;03/07/2023;434.620000;411.973461
11690;103;03/07/2023;66.000000;62.559240
11461;104;03/07/2023;15.840000;15.014216
10845;105;03/07/2023;28.820000;27.317533
12321;106;03/07/2023;2.200000;2.085308
12403;107;10/07/2023;22.600000;21.682464
12495;108;24/07/2023;18.000000;15.000000
12510;109;24/07/2023;449.220000;425.819916
12321;110;25/07/2023;72.160000;68.398108
12065;111;25/07/2023;26.400000;25.023692
11690;112;25/07/2023;17.600000;16.682460
10845;113;25/07/2023;60.280000;57.137436
6241;114;25/07/2023;8.800000;8.341232
9807;115;25/07/2023;20.900000;19.810425
12385;116;21/08/2023;59.000000;55.924168
12568;117;24/08/2023;18.960000;17.960000
12813;118;04/09/2023;612.380000;580.466369
12510;119;04/09/2023;11.610000;11.010426
11690;120;04/09/2023;75.680000;71.734596
10845;121;04/09/2023;61.600000;58.388620
9807;122;04/09/2023;7.920000;7.507108
13050;123;05/10/2023;29.950000;27.708815
13084;124;09/10/2023;3.460000;2.880000
13098;125;10/10/2023;418.240000;396.206801
12321;126;12/10/2023;58.520000;55.469196
12065;127;12/10/2023;5.410000;5.013949
11202;128;12/10/2023;2.200000;2.085308
10845;129;12/10/2023;9.900000;9.383885
13358;130;13/11/2023;319.340000;302.703327
13098;131;13/11/2023;6.070000;5.755450
12813;132;13/11/2023;11.000000;10.426540
9807;133;13/11/2023;9.900000;9.383885
13535;134;24/11/2023;15.950000;14.438672
13781;135;04/12/2023;14.750000;13.301232
13881;136;08/12/2023;468.200000;443.795271
13358;137;08/12/2023;70.840000;67.146923
13805;138;11/12/2023;10.950000;9.126667
14318;139;30/12/2023;692.320000;656.087446
13881;140;30/12/2023;34.750000;32.947866
13358;141;30/12/2023;53.240000;50.464456
12321;142;30/12/2023;18.040000;17.099522
12065;143;30/12/2023;5.280000;5.004738
11202;144;30/12/2023;34.670000;32.864454
10263;145;30/12/2023;15.840000;15.014216
