Emplacement;Produit;RÃ©fÃ©rence;ISBN;QuantitÃ©;Prix d'achat;Prix de vente;Total achat;Total vente,Actif
Esat Moulins;10 Stuck Packungen (AL);66-LOT10;;50;0.02;8.33;1.00;416.50;Actif;
Esat Moulins;1000 Raisons de croire, la BD;249-UNITE;978-2-487056-41-1;403;0.00;14.12;0.00;5690.36;Actif;
Esat Moulins;1000 Raisons de croire, la BD;249-LOT5;978-2-487056-41-1;26;0.00;51.28;0.00;1333.28;Actif;
Esat Moulins;365 méditations sur la Vierge Marie;51-UNITE;978-2-7509051-3-2;2;0.00;0.00;0.00;0.00;DÃ©sactivÃ©;
Esat Moulins;A Jésus par Marie;237-UNITE;978-2-35389-728-5;27;0.00;12.32;0.00;332.64;Actif;
Esat Moulins;Affiche A4 Marie qui défait les Noeuds - Nouvelle version;157-UNITE;978-2-491255-90-9;24;0.19;2.50;4.56;60.00;Actif;
Esat Moulins;Affiche A4 Marie qui défait les Noeuds - Nouvelle version;157-LOT10;978-2-491255-90-9;136;0.19;5.75;25.84;782.00;Actif;
Esat Moulins;Affichette format A2;46-UNITE;978-2-35689-008-5;50;0.00;24.58;0.00;1229.00;DÃ©sactivÃ©;
Esat Moulins;Affichette format A3;45-UNITE;978-2-35689-007-8;115;0.00;11.25;0.00;1293.75;DÃ©sactivÃ©;
Esat Moulins;Apprendre à prier_L'essentiel de l'art de la prière;235-UNITE;978-2-38433-192-5;24;0.00;15.17;0.00;364.08;Actif;
Esat Moulins;Autocollants Marie qui défait les noeuds;251-LOT4;978-2-487056-25-1;14;0.00;5.00;0.00;70.00;Actif;
Esat Moulins;Autocollants Marie qui défait les noeuds;251-UNITE;978-2-487056-25-1;130;0.00;2.50;0.00;325.00;Actif;
Esat Moulins;Bernadette et Lourdes _ L'enquête;176-UNITE;979-10-94998-85-4;68;6.36;14.12;432.48;960.16;Actif;
Esat Moulins;Bernadette ne nous a pas trompés;136-UNITE;978-2-491255-68-8;304;2.39;20.85;726.56;6338.40;Actif;
Esat Moulins;Bougie de neuvaine Marie qui défait les noeuds;128-LOT6;;1;0.00;19.17;0.00;19.17;Actif;
Esat Moulins;Bougie de neuvaine Marie qui défait les noeuds;128-UNITE;;3;0.00;5.00;0.00;15.00;Actif;
Esat Moulins;Bougies 100 étoiles pour Marie;113-LOT4;;6;0.44;4.58;2.64;27.48;Actif;
Esat Moulins;Bougies 100 étoiles pour Marie;113-UNITE;;228;0.44;1.67;100.32;380.76;Actif;
