"Référence Produit";ISBN;EAN13;"Nom Produit";"Quantité en Stock";"Quantité Vendue June 2025";"Quantité Vendue 01 Jul 2024 - 30 Jun 2025XXX"
150-UNITE;978-2-491255-89-3;9782491255893;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Lot de 10 (-30%)";201;22;52
69-UNITE;;;"Cartoloina Maria che scioglie i nodi (IT) (Unité)";851;0;0
56-UNITE;376-0-13237-798-8;3760132377988;"CD - prier le chapelet (Unité)";111;1;17
120-UNITE;;;"Chapelet blanc en nylon (Unité)";53;0;28
47-UNITE;978-2-35689-010-8;9782356890108;"Chapelet en bois verni (Unité)";0;0;2
258-PACK1000RC;;;"Collection des 5 premiers magazines 1000 raisons de croire (Unité)";4;14;182
215-UNITE;978-2-7403-1260-5;9782740312605;"Dieu est Amour (grands caractères)_encyclique de Benoît XVI (Unité)";26;0;5
223-UNITE;978-2266339-32-2;9782266339322;"Dieu la Science, les preuves _ Version poche (Unité)";165;0;70
109-UNITE;978-2-813225-85-6;9782813225856;"Dieu, la Science, les preuves (Unité)";113;1;46
44-UNITE;978-2-35689-000-9;9782356890009;"Edition Collector _lot de 10 neuvaines à Marie qui défait les noeuds - Quantité: Lot de 10";7;0;40
103-GRATUIT;978-2-491255-58-9;9782491255589;"EDITION GRATUITE - La Vocation de la France - Servir les cœurs unis de Jésus et Marie (Unité)";1756;0;20
90-GRATUIT;978-2-491255-42-8;9782491255428;"EDITION GRATUITE Joseph, modèle de vie - Si important pour notre temps (Unité)";2288;0;113
89-GRATUIT;978-2-491255-22-0;9782491255220;"EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ (Unité)";782;0;512
91-GRATUIT;978-2-491255-17-6;9782491255176;"EDITION GRATUITE Lumière du Monde - La beauté de l'Église et le génie catholique (Unité)";4337;0;334
95-GRATUIT;978-2-4912554-7-3;9782491255473;"EDITION GRATUITE Maria Valtorta - Confirmation par la science (Unité)";275;20;49
98-GRATUIT;978-2-491255-43-5;9782491255435;"EDITION GRATUITE Marie et la France - Un lien extraordinaire à redécouvrir (Unité)";1947;0;414
144-GRATUIT;978-2-491255-24-4;9782491255244;"EDITION GRATUITE Marie et la France -Edition Notre Dame de Paris (Unité)";191;0;0
112-GRATUIT;978-2-491255-61-9;9782491255619;"EDITION GRATUITE Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";0;0;0
164-GRATUIT;978-2-491255-95-4;9782491255954;"EDITION GRATUITE Neuvaine Marie qui défait les noeuds (Unité)";14867;0;1175
139-UNITE;978-2-491255-74-9;9782491255749;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Unité";718;75;330
139-UNITE;978-2-491255-74-9;9782491255749;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Lot de 3";11;0;4
106-UNITE;;;"Flyers 100 étoiles - Quantité flyers: Paquet de 10";0;0;0
106-UNITE;;;"Flyers 100 étoiles - Quantité flyers: Paquet de 50";0;0;0
143-UNITE;;;"Grande Bougie Marie qui défait les noeuds 18 cm (Unité)";0;0;0
62-UNITE;;;"Grande Médaille dorée Marie qui défait les Nœuds - 30 mm (Unité)";78;3;37
160-UNITE;;;"Il n'y a aucune erreur doctrinale dans les écrits de Maria Valtorta ? (Unité)";0;0;0
133-UNITE;979-1-0928-0149-1;9791092801491;"J'apprends à parler avec Marie (Unité)";79;1;71
DON;;;"Je fais un don pour participer aux actions de la librairie missionnaire (Unité)";999353;42;2056
207-UNITE;978-2-7403-2299-4;9782740322994;"Je vous prépare aux temps nouveaux (Unité)";10;0;42
233-UNITE;978-2-487056-22-0;9782487056220;"Jeanne d'Arc (Unité)";0;0;0
26-UNITE;978-2-9555343-7-3;9782955534373;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Unité";2649;5;332
26-UNITE;978-2-9555343-7-3;9782955534373;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Lot de 10 (-30%)";474;0;3
220-UNITE;979-10-336-1493-7;9791033614937;"Joseph de Nazareth (Unité)";84;1;9
23-UNITE;978-2-491255-27-5;9782491255275;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Unité";2228;17;143
23-UNITE;978-2-491255-27-5;9782491255275;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Lot de 10 (-30%)";215;0;4
119-KIT;;;"Kit Consécration (Unité)";7;4;8
278-KIT;;;"Kit Marie qui défait les Noeuds_Faire un autel chez soi (Unité)";4;0;10
129-KIT;;;"Kit Merci Marie (Unité)";440;0;63
208-UNITE;978-2-7403-2158-4;9782740321584;"L'apparition de la Très Sainte Vierge sur la Montagne de la Salette (Unité)";11;1;1
245-UNITE;978-2-35389-975-3;9782353899753;"L'art de la prière (Unité)";14;1;13
173-UNITE;979-10-33603-59-7;9791033603597;"L'imitation de la bienheureuse Vierge Marie (Unité)";32;0;8
209-UNITE;978-2-7403-1436-4;9782740314364;"La dévotion réparatrice au Coeur immaculé de Marie (Unité)";0;0;0
203-UNITE;978-2-7403-2506-3;9782740325063;"La folie du Totus Tuus (Unité)";7;0;4
132-UNITE;978-88-7987-391-8;9788879873918;"La Force des Martyrs (Unité)";38;1;16
241-UNITE;9782915313611;9782915313611;"La maternité spirituelle de Marie (Arrêt commercial) (Unité)";0;0;0
174-UNITE;978-2492547010;9782492547010;"La Médaille miraculeuse_Les apparitions de la rue du Bac (Unité)";8;0;36
213-UNITE;9782740323281;9782740323281;"La très belle histoire de l'apparition de Pontmain (Unité)";0;0;8
205-UNITE;978-2-7403-2522-3;9782740325223;"La très belle histoire de la Médaille Miraculeuse (Unité)";0;0;2
212-UNITE;978-2-7403-2407-3;9782740324073;"La très belle histoire de Notre Dame de Pellevoisin (Unité)";3;0;9
214-UNITE;978-2-7403-2434-9;9782740324349;"La très belle histoire de Notre-Dame de Lourdes (Unité)";0;0;8
202-UNITE;978-2-7403-2554-4;9782740325544;"La vie de la Vierge Marie dans l'art (Unité)";15;0;27
219-UNITE;979-10-336-1508-8;9791033615088;"La Vierge de l'apocalypse. Aux portes de Rome, les apparitions de Tre Fontane (Unité)";6;1;33
102-UNITE;978-2-491255-52-7;9782491255527;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Lot de 10 (-30%)";461;0;3
102-UNITE;978-2-491255-52-7;9782491255527;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Unité";4432;14;109
242-UNITE;978-2-35389-623-3;9782353896233;"La voie de la Belle Dame (Unité)";26;0;3
29-UNITE;978-2-491255-20-6;9782491255206;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Unité";25;28;257
29-UNITE;978-2-491255-20-6;9782491255206;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Lot de 10 (-30%)";278;0;13
53-UNITE;978-2-35689-009-2;9782356890092;"Le livre de Saint Joseph - Le saint du XXIème siècle (Unité)";2802;0;67
229-UNITE;978-2-487056-14-5;9782487056145;"Le plus précieux trésor, découvrir l'Eucharistie (Unité)";0;0;0
40-UNITE;978-2-35689-013-9;9782356890139;"Le Rosaire - Les vingt mystères revisités (Unité)";17;5;64
153-UNITE;978-2-491255-87-9;9782491255879;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Unité";728;17;92
153-UNITE;978-2-491255-87-9;9782491255879;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Lot de 3";12;0;3
201-UNITE;978-2-7403-2589-6;9782740325896;"Le témoignage de Mirjana: Mon cœur triomphera (Unité)";22;0;28
210-UNITE;978-2-7403-1217-9;9782740312179;"Les apparitions de Versailles (Unité)";0;0;49
177-UNITE;978-2-38488-032-4;9782384880324;"Les carmélites de Compiègne Martyres de la révolution (Unité)";43;1;15
158-UNITE;978-2-491255-85-5;9782491255855;"Les travers de la zététique _réponse au livre de Thomas Durand (Unité)";54;8;56
35-UNITE;978-2-35689-014-6;9782356890146;"Les vingt mystères de la neuvaine (Unité)";2;1;228
231-UNITE;979-1033614-95-1;9791033614951;"Libre Réponse à Michel Onfray _NON le Christ n'est pas un Mythe (Unité)";30;0;134
118-UNITE;978-2-491255-65-7;;"Livret de prière (Unité)";0;0;0
246-GRATUIT;9782487056268;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 50";0;4;252
246-GRATUIT;9782487056268;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 10";229;52;870
246-GRATUIT;9782487056268;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 100";0;0;326
232-GRATUIT;9782491255947;9782491255947;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 10";834;12;805
232-GRATUIT;9782491255947;9782491255947;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 50";27;58;278
232-GRATUIT;9782491255947;9782491255947;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 100";0;0;278
34-LOT5;978-2-35689-011-5;;"Lot de 5 livrets - neuvaine à Marie qui défait les nœuds (Unité)";0;9;86
39-UNITE-5;978-2-35689-086-3;;"Lot de 5 livrets - Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";0;0;0
43-UNITE-5;978-2-35689-085-6;;"Lot de 5 livrets Neuvaine pour la maladie - Marie qui défait les nœuds (Unité)";0;0;0
38-UNITE-5;978-2-35689-084-9;;"Lot de 5 livrets Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";0;0;0
61-LOT5;;;"Lot de 5 petites médailles dorées Marie qui défait les Nœuds - 15 mm (Unité)";0;0;4
31-UNITE;978-2-9555343-8-0;9782955534380;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Unité";1522;6;49
31-UNITE;978-2-9555343-8-0;9782955534380;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Lot de 10 (-30%)";662;0;3
49-UNITE;978-2-9555343-0-4;9782955534304;"Lumières sur Nazareth  Version Française (Unité)";709;0;3
99-UNITE;9782955534311;9782955534311;"Lumières sur Nazareth Version Anglaise (Unité)";518;0;0
1000RCMAG01;9782487056053;9782487056053;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Unité";926;13;124
1000RCMAG01;9782487056053;9782487056053;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Lot de 5";19;0;0
1000RCMAG02;9782487056060;9782487056060;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Unité";2119;12;126
1000RCMAG02;9782487056060;9782487056060;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Lot de 5";20;0;0
1000RCMAG03;;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Unité";2980;5;97
1000RCMAG03;;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Lot de 5";20;0;0
1000RCMAG04;9782487056169;9782487056169;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Unité";2965;10;103
1000RCMAG04;9782487056169;9782487056169;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Lot de 5";18;0;1
1000RCMAG05;;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Unité";2931;7;97
1000RCMAG05;;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Lot de 5";17;0;3
1000RCMAG06;;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Unité";1699;5;97
1000RCMAG06;;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Lot de 5";18;0;2
1000RCMAG07;9782487056657;9782487056657;"Magazine 1000 raisons de croire Le n°7_La grande et unique histoire de la charité - Quantité: Unité";2241;0;30
1000RCMAG07;9782487056657;9782487056657;"Magazine 1000 raisons de croire Le n°7_La grande et unique histoire de la charité - Quantité: Lot de 5";27;0;3
1000RCMAG08;9782487056664;9782487056664;"Magazine 1000 Raisons de croire Le n°8_ Sainte Jeanne d'Arc - Quantité: Unité";4184;13;74
1000RCMAG08;9782487056664;9782487056664;"Magazine 1000 Raisons de croire Le n°8_ Sainte Jeanne d'Arc - Quantité: Lot de 5";5;1;5
1000RCMAG09;9782487056671;9782487056671;"Magazine 1000 raisons de croire Le n°9_L'étonnante fiabilité des évangiles (Unité)";0;0;0
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 74 : Les 100 étoiles sont lancées";0;0;2
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 75 : En 2022, centenaire rime aussi avec rosaire";61;0;10
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 76 : Joyeux Noël, «Merci Marie»";290;0;11
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 73 : Marie et Jeanne, les deux patronnes qui veillent sur la France";188;0;18
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 71 : Jésus, fils de Joseph";105;0;16
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 69 : Retrouvons nos racines !";11;0;15
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 68 : France, royaume de Marie !";46;0;18
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 67 : 2021... année de Saint Joseph";6;0;13
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 66 : Elle est passée chez vous !";0;0;13
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 65 : Elle a pris les devants, notre reine !";42;0;15
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 77 : Bernadette ne nous a pas trompés !";309;0;22
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 78 : « Fais-moi connaître »";65;0;22
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 79 : L'Église, notre héritage";98;0;21
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 80 : Publions les merveilles de Dieu !";2;0;0
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 81: La crèche : 800 ans d'histoire et de tradition";292;0;10
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 82 :  Guadalupe, 500 ans de dévotion";574;0;21
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 83 : Le Christ est roi";572;0;25
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 84: Marie, notre mère à tous";196;0;28
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 85: Trois anniversaires pour fêter Sainte Thérèse";18;0;297
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 86 : Le Miracle de Notre-Dame";8;0;193
135-GRATUIT;;;"Magazine Ave Maria - N° Ave Maria: 87 : Sous le regard de Marie";75;42;121
73-UNITE;978-2-35689-096-2;9782356890962;"Maria desatadora de nudos (ES) (Unité)";189;40;288
80-UNITE;;;"Maria Knotenloserin - Karte (DE) (Unité)";851;0;103
79-UNITE;978-2-35689-003-0;9782356890030;"Maria Knotenloserin novene (DE) (Unité)";1070;426;598
94-UNITE;978-2-9555343-6-6;9782955534366;"Maria Valtorta - Confirmation par la science - Quantité: Unité";12;16;187
94-UNITE;978-2-9555343-6-6;9782955534366;"Maria Valtorta - Confirmation par la science - Quantité: Lot de 10 (-30%)";0;0;0
70-UNITE;978-2-35689-000-9;9782356890009;"Maria, Desatadora dos nós (PT) (Unité)";421;0;236
;;;"Mariam songs (Unité)";0;0;0
236-UNITE;978-2-38433-152-9;9782384331529;"Marie d'ici et d'ailleurs (Unité)";26;0;3
197-UNITE;978-2-7289-1983-3;9782728919833;"Marie de Nazareth (Unité)";8;1;10
183-UNITE;978-2-7067-2085-7;9782706720857;"Marie des écritures (Unité)";42;0;2
76-UNITE;978-2-35689-004-7;9782356890047;"Marie die de knopen ontwart (NL) (Unité)";0;0;0
250-UNITE;978-2-487056-42-8;9782487056428;"Marie et la France *Edition Notre Dame* - Quantité: Unité";559;5;512
250-UNITE;978-2-487056-42-8;9782487056428;"Marie et la France *Edition Notre Dame* - Quantité: Lot de 10";25;0;14
21-UNITE;978-2-491255-29-9;9782491255299;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Unité";25;3;134
21-UNITE;978-2-491255-29-9;9782491255299;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Lot de 10 (-30%)";157;0;3
240-UNITE;9782915313598;9782915313598;"Marie et nos épreuves (Arrêt commercial) (Unité)";0;0;0
273-UNITE;978-2-487056-62-6;9782487056626;"Marie qui défait les noeuds : la neuvaine originale avec le tableau original (Unité)";0;0;0
115-UNITE;978-2-491255-62-6;9782491255626;"Marie qui défait les noeuds, d'un miracle à une dévotion (Unité)";1436;28;180
230-UNITE;978-2-487056-21-3;9782487056213;"Marie qui défait les noeuds_le tableau ! (Unité)";55;2;28
55-UNITE;978-2-35689-087-0;9782356890870;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques (Unité)";0;0;0
97-UNITE;978-2-491255-50-3;9782491255503;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Unité";367;131;643
97-UNITE;978-2-491255-50-3;9782491255503;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Lot de 3";18;0;2
180-UNITE;978-2-36040-597-8;9782360405978;"Marie, mon secret (Unité)";0;0;19
72-UNITE;978-2-23568-990-8;9782235689908;"Mary who unties knots  (chinese version) (Unité)";0;5;104
78-UNITE;978-2-35689-002-3;9782356890023;"Mary who Unties Knots (EN) (Unité)";0;37;388
200-UNITE;;;"Médaille Miraculeuse en aluminium blanc (Unité)";22;0;28
199-UNITE;;;"Médaille Miraculeuse en aluminium couleur or (Unité)";0;0;72
181-UNITE;978-2-7067-0501-4;9782706705014;"Méditations sur Marie (arrêt commercial) (Unité)";-2;0;0
193-UNITE;979-10-336-1459-3;9791033614593;"Méditer la parole avec la Vierge Marie (Unité)";131;1;27
274-UNITE;9782487056688;9782487056688;"Neuvaine à Carlo Acutis - Quantité: Unité";0;506;506
124-UNITE;978-2-491255-67-1;9782491255671;"Neuvaine à l'Archange Saint Michel (Unité)";55;70;802
121-UNITE;978-2-491255-66-4;9782491255664;"Neuvaine à l'Immaculée avec Maximilien Kolbe (Unité)";718;2;39
100-UNITE;978-2-491255-48-0;9782491255480;"Neuvaine à l'Immaculée Conception (Unité)";330;6;134
146-UNITE;978-2-491255-78-7;9782491255787;"Neuvaine à la Miséricorde Divine (Unité)";215;101;355
228-UNITE;978-2-487056-72-5;9782487056725;"Neuvaine à la Vierge de l'Assomption avec Saint Jean (Unité)";295;4;4
92-UNITE;978-2-491255-45-9;9782491255459;"Neuvaine à la Vierge Marie avec la petite Thérèse (Unité)";1219;8;373
226-UNITE;978-2-487056-11-4;9782487056114;"Neuvaine à Marie avec soeur Emmanuel de Medjugorje (Unité)";472;12;357
140-UNITE;978-2-491255-72-5;9782491255725;"Neuvaine à Marie qui défait les noeuds - Version originale 2022 (Unité)";594;841;5854
195-UNITE;;;"Neuvaine à Marie qui Défait les Nœuds - pack complet avec Bougie de Neuvaine (Unité)";9;2;35
198-UNITE;;;"Neuvaine à Marie qui Défait les Nœuds édition reliée et enluminée - pack complet avec Bougie de Neuvaine (Unité)";10;4;43
142-UNITE;978-2-491255-77-0;9782491255770;"Neuvaine à Marie Reine des Coeurs (Unité)";413;1;69
260-UNITE;978-2-487056-54-1;9782487056541;"Neuvaine à Marie, refuge des pêcheurs - Quantité: Unité";391;57;383
260-UNITE;978-2-487056-54-1;9782487056541;"Neuvaine à Marie, refuge des pêcheurs - Quantité: Lot de 5";30;0;0
170-UNITE;978-2-491255-99-2;9782491255992;"Neuvaine à Notre Dame de Guadalupe (Unité)";266;26;647
131-UNITE;978-2-491255-71-8;9782491255718;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Unité";324;35;195
131-UNITE;978-2-491255-71-8;9782491255718;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Lot de 5";18;0;1
101-UNITE;978-2-491255-56-5;9782491255565;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Unité";50;22;1018
101-UNITE;978-2-491255-56-5;9782491255565;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Lot de 5";1;0;18
88-UNITE;978-2-491255-41-1;9782491255411;"Neuvaine à Notre Dame du Mont-Carmel avec les saints du Carmel (Unité)";1647;29;97
96-UNITE;978-2-491255-49-7;9782491255497;"Neuvaine à Notre Dame Libératrice du Sanctuaire de Montligeon (Unité)";191;19;306
148-UNITE;978-2-491255-81-7;9782491255817;"Neuvaine à Padre Pio (Unité)";291;61;399
275-UNITE;9782487056695;9782487056695;"Neuvaine à Pier Giorgio Frassati - Quantité: Unité";0;495;495
145-UNITE;978-2-491255-79-4;9782491255794;"Neuvaine à Saint Antoine de Padoue (Unité)";317;34;255
227-UNITE;978-2-487056-19-0;9782487056190;"Neuvaine à Saint Charbel (Unité)";440;90;1227
