"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue November 2024";"Quantité Vendue 01 Dec 2023 - 30 Nov 2024XXX"
103-GRATUIT;978-2-491255-58-9;"EDITION GRATUITE - La Vocation de la France - Servir les cœurs unis de Jésus et Marie (Unité)";1776;0;2
90-GRATUIT;978-2-491255-42-8;"EDITION GRATUITE Joseph, modèle de vie - Si important pour notre temps (Unité)";2469;1;5
89-GRATUIT;978-2-491255-22-0;"EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ (Unité)";792;0;5
91-GRATUIT;978-2-491255-17-6;"EDITION GRATUITE Lumière du Monde - La beauté de l'Église et le génie catholique (Unité)";4447;1;439
95-GRATUIT;978-2-4912554-7-3;"EDITION GRATUITE Maria Valtorta - Confirmation par la science (Unité)";330;9;910
98-GRATUIT;978-2-491255-43-5;"EDITION GRATUITE Marie et la France - Un lien extraordinaire à redécouvrir (Unité)";2900;101;377
144-GRATUIT;978-2-491255-24-4;"EDITION GRATUITE Marie et la France -Edition Notre Dame de Paris (Unité)";214;0;0
112-GRATUIT;978-2-491255-61-9;"EDITION GRATUITE Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";0;0;0
164-GRATUIT;;"EDITION GRATUITE Neuvaine Marie qui défait les noeuds (Unité)";16430;0;3260
139-UNITE;978-2-491255-74-9;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Unité";764;2;2
139-UNITE;978-2-491255-74-9;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Lot de 3";13;1;1
106-UNITE;;"Flyers 100 étoiles - Quantité flyers: Paquet de 10";0;0;0
106-UNITE;;"Flyers 100 étoiles - Quantité flyers: Paquet de 50";0;0;0
143-UNITE;;"Grande Bougie Marie qui défait les noeuds 18 cm (Unité)";0;0;0
62-UNITE;;"Grande Médaille dorée Marie qui défait les Nœuds - 30 mm (Unité)";117;4;28
160-UNITE;;"Il n'y a aucune erreur doctrinale dans les écrits de Maria Valtorta ? (Unité)";0;0;0
133-UNITE;979-1-0928-0149-1;"J'apprends à parler avec Marie (Unité)";112;6;89
DON;;"Je fais un don pour participer aux actions de la librairie missionnaire (Unité)";999840;107;2922
207-UNITE;978-2-7403-2299-4;"Je vous prépare aux temps nouveaux (Unité)";17;6;50
233-UNITE;978-2-487056-22-0;"Jeanne d'Arc (Unité)";0;0;0
26-UNITE;978-2-9555343-7-3;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Unité";2715;12;338
26-UNITE;978-2-9555343-7-3;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques - Quantité: Lot de 10 (-30%)";747;0;6
220-UNITE;979-10-336-1493-7;"Joseph de Nazareth (Unité)";87;0;11
23-UNITE;978-2-491255-27-5;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Unité";2265;21;166
23-UNITE;978-2-491255-27-5;"Joseph, modèle de vie - Si important pour notre temps - Quantité: Lot de 10 (-30%)";218;0;2
119-KIT;;"Kit consécration 100 étoiles (Unité)";0;0;0
129-KIT;;"Kit Merci Marie (Unité)";426;42;75
208-UNITE;978-2-7403-2158-4;"L'apparition de la Très Sainte Vierge sur la Montagne de la Salette (Unité)";12;0;8
245-UNITE;978-2-35389-975-3;"L'art de la prière (Unité)";19;1;8
173-UNITE;979-10-33603-59-7;"L'imitation de la bienheureuse Vierge Marie (Unité)";33;1;36
209-UNITE;978-2-7403-1436-4;"La dévotion réparatrice au Coeur immaculé de Marie (Unité)";0;0;0
203-UNITE;978-2-7403-2506-3;"La folie du Totus Tuus (Unité)";7;2;13
132-UNITE;978-88-7987-391-8;"La Force des Martyrs (Unité)";49;2;26
241-UNITE;9782915313611;"La maternité spirituelle de Marie (Arrêt commercial) (Unité)";0;0;0
174-UNITE;978-2492547010;"La Médaille miraculeuse_Les apparitions de la rue du Bac (Unité)";30;2;45
213-UNITE;9782740323281;"La très belle histoire de l'apparition de Pontmain (Unité)";0;1;20
205-UNITE;978-2-7403-2522-3;"La très belle histoire de la Médaille Miraculeuse (Unité)";0;1;20
212-UNITE;978-2-7403-2407-3;"La très belle histoire de Notre Dame de Pellevoisin (Unité)";5;2;15
214-UNITE;978-2-7403-2434-9;"La très belle histoire de Notre-Dame de Lourdes (Unité)";1;3;18
202-UNITE;978-2-7403-2554-4;"La vie de la Vierge Marie dans l'art (Unité)";29;0;63
219-UNITE;979-10-336-1508-8;"La Vierge de l'apocalypse. Aux portes de Rome, les apparitions de Tre Fontane (Unité)";13;1;32
102-UNITE;978-2-491255-52-7;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Lot de 10 (-30%)";334;0;1
102-UNITE;978-2-491255-52-7;"La Vocation de la France - Servir les cœurs unis de Jésus et Marie - Quantité: Unité";4516;10;131
242-UNITE;978-2-35389-623-3;"La voie de la Belle Dame (Unité)";27;0;3
29-UNITE;978-2-491255-20-6;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Unité";74;30;282
29-UNITE;978-2-491255-20-6;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ - Quantité: Lot de 10 (-30%)";291;1;25
53-UNITE;978-2-35689-009-2;"Le livre de Saint Joseph - Le saint du XXIème siècle (Unité)";2905;6;79
229-UNITE;978-2-487056-14-5;"Le plus précieux trésor, découvrir l'Eucharistie (Unité)";0;0;0
40-UNITE;978-2-35689-013-9;"Le Rosaire - Les vingt mystères revisités (Unité)";25;10;58
153-UNITE;978-2-491255-87-9;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Unité";731;2;2
153-UNITE;978-2-491255-87-9;"Le Rosaire, les 20 mystères revisités - Version 2023 - Quantité: Lot de 3";14;1;1
201-UNITE;978-2-7403-2589-6;"Le témoignage de Mirjana: Mon cœur triomphera (Unité)";29;1;40
210-UNITE;978-2-7403-1217-9;"Les apparitions de Versailles (Unité)";0;0;66
177-UNITE;978-2-38488-032-4;"Les carmélites de Compiègne Martyres de la révolution (Unité)";51;1;35
158-UNITE;978-2-491255-85-5;"Les travers de la zététique _réponse au livre de Thomas Durand (Unité)";84;5;467
35-UNITE;978-2-35689-014-6;"Les vingt mystères de la neuvaine (Unité)";24;31;563
231-UNITE;979-1033614-95-1;"Libre Réponse à Michel Onfray _NON le Christ n'est pas un Mythe (Unité)";17;5;352
44-UNITE;978-2-35689-000-9;"Livret - neuvaine à Marie qui défait les noeuds (Unité)";4;12;23
118-UNITE;978-2-491255-65-7;"Livret de prière (Unité)";639;0;0
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 50";60;7;356
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 10";873;35;1044
246-GRATUIT;9782487056268;"Livret missionnaire 16 pages version BD : « Il y a 1000 raisons de croire, découvre la tienne ! » - Quantité: Lot de 100";13;25;410
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 10";853;36;1233
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 50";188;8;459
232-GRATUIT;978-2-491255-94-7;"Livret missionnaire 16 pages version intégrale : « Il y a 1000 raisons de croire en Jésus, et ça change tout ! » - Quantité: Lot de 100";16;17;475
34-LOT5;978-2-35689-011-5;"Lot de 5 livrets - neuvaine à Marie qui défait les nœuds (Unité)";0;6;67
39-UNITE-5;978-2-35689-086-3;"Lot de 5 livrets - Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";0;0;0
43-UNITE-5;978-2-35689-085-6;"Lot de 5 livrets Neuvaine pour la maladie - Marie qui défait les nœuds (Unité)";0;0;0
38-UNITE-5;978-2-35689-084-9;"Lot de 5 livrets Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";0;0;0
61-LOT5;;"Lot de 5 petites médailles dorées Marie qui défait les Nœuds - 15 mm (Unité)";0;1;20
31-UNITE;978-2-9555343-8-0;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Unité";1984;4;81
31-UNITE;978-2-9555343-8-0;"Lumière du Monde - La beauté de l'Église et le génie catholique - Quantité: Lot de 10 (-30%)";672;0;3
49-UNITE;978-2-9555343-0-4;"Lumières sur Nazareth  Version Française (Unité)";712;0;6
99-UNITE;9782955534311;"Lumières sur Nazareth Version Anglaise (Unité)";543;0;0
MAG1000RC-01;;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Unité";1196;10;10
MAG1000RC-01;;"Magazine 1000 raisons de croire Le n°1 _ Si tu existes, envoies-moi un signe ! - Quantité: Lot de 5";20;0;0
MAG1000RC-02;;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Unité";1625;8;8
MAG1000RC-02;;"Magazine 1000 raisons de croire Le n°2_Les prophéties bibliques enfin décodées ! - Quantité: Lot de 5";20;0;0
MAG1000RC-03;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Unité";3151;2;2
MAG1000RC-03;;"Magazine 1000 raisons de croire Le n°3_Oui, anges et démons existent ! - Quantité: Lot de 5";20;0;0
MAG1000RC-04;;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Unité";2922;5;5
MAG1000RC-04;;"Magazine 1000 raisons de croire Le n°4_Elle s'est manifestée 2400 fois ! - Quantité: Lot de 5";19;0;0
MAG1000RC-05;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Unité";3035;5;5
MAG1000RC-05;;"Magazine 1000 raisons de croire Le n°5_Ils reviennent de l'au-delà ! - Quantité: Lot de 5";19;0;0
MAG1000RC-06;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Unité";2612;5;5
MAG1000RC-06;;"Magazine 1000 raisons de croire Le n°6_Le miracle de Notre Dame - Quantité: Lot de 5";19;0;0
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 74 : Les 100 étoiles sont lancées";0;0;17
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 75 : En 2022, centenaire rime aussi avec rosaire";0;0;0
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 76 : Joyeux Noël, «Merci Marie»";0;0;0
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 73 : Marie et Jeanne, les deux patronnes qui veillent sur la France";130;0;10
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 71 : Jésus, fils de Joseph";114;0;11
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 69 : Retrouvons nos racines !";21;0;5
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 68 : France, royaume de Marie !";57;0;7
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 67 : 2021... année de Saint Joseph";16;0;3
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 66 : Elle est passée chez vous !";10;0;9
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 65 : Elle a pris les devants, notre reine !";52;0;14
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 77 : Bernadette ne nous a pas trompés !";319;0;8
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 78 : « Fais-moi connaître »";74;0;9
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 79 : L'Église, notre héritage";107;0;9
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 80 : Publions les merveilles de Dieu !";0;0;72
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 81: La crèche : 800 ans d'histoire et de tradition";0;0;85
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 82 :  Guadalupe, 500 ans de dévotion";284;0;11
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 83 : Le Christ est roi";125;0;12
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 84: Marie, notre mère à tous";217;0;21
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 85: Trois anniversaires pour fêter Sainte Thérèse";0;75;286
135-GRATUIT;;"Magazine Ave Maria - N° Ave Maria: 86 : Le Miracle de Notre-Dame";140;9;9
73-UNITE;978-2-35689-096-2;"Maria desatadora de nudos (ES) (Unité)";193;14;400
80-UNITE;;"Maria Knotenloserin - Karte (DE) (Unité)";903;0;105
79-UNITE;978-2-35689-003-0;"Maria Knotenloserin novene (DE) (Unité)";1318;0;441
94-UNITE;978-2-9555343-6-6;"Maria Valtorta - Confirmation par la science - Quantité: Unité";64;4;194
94-UNITE;978-2-9555343-6-6;"Maria Valtorta - Confirmation par la science - Quantité: Lot de 10 (-30%)";0;0;0
70-UNITE;978-2-35689-000-9;"Maria, Desatadora dos nós (PT) (Unité)";521;0;61
;;"Mariam songs (Unité)";0;0;0
236-UNITE;978-2-38433-152-9;"Marie d'ici et d'ailleurs (Unité)";28;1;2
197-UNITE;978-2-7289-1983-3;"Marie de Nazareth (Unité)";14;1;13
183-UNITE;978-2-7067-2085-7;"Marie des écritures (Unité)";43;1;5
76-UNITE;978-2-35689-004-7;"Marie die de knopen ontwart (NL) (Unité)";0;0;0
250-UNITE;978-2-487056-42-8;"Marie et la France *Edition Notre Dame* - Quantité: Unité";614;1;1
250-UNITE;978-2-487056-42-8;"Marie et la France *Edition Notre Dame* - Quantité: Lot de 10";28;0;0
21-UNITE;978-2-491255-29-9;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Unité";40;20;223
21-UNITE;978-2-491255-29-9;"Marie et la France - Un lien extraordinaire à redécouvrir - Quantité: Lot de 10 (-30%)";157;0;10
240-UNITE;9782915313598;"Marie et nos épreuves (Arrêt commercial) (Unité)";0;0;0
115-UNITE;978-2-491255-62-6;"Marie qui défait les noeuds, d'un miracle à une dévotion (Unité)";1450;32;218
230-UNITE;978-2-487056-21-3;"Marie qui défait les noeuds_le tableau ! (Unité)";77;2;22
978-2-35689-087-0;978-2-35689-087-0;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques (Unité)";0;0;0
97-UNITE;978-2-491255-50-3;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Unité";467;10;10
97-UNITE;978-2-491255-50-3;"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques - Quantité: Lot de 3";20;0;0
180-UNITE;978-2-36040-597-8;"Marie, mon secret (Unité)";2;1;42
72-UNITE;978-2-23568-990-8;"Mary who unties knots  (chinese version) (Unité)";0;1;1
78-UNITE;978-2-35689-002-3;"Mary who Unties Knots (EN) (Unité)";185;2;277
200-UNITE;;"Médaille Miraculeuse en aluminium blanc (Unité)";146;3;33
199-UNITE;;"Médaille Miraculeuse en aluminium couleur or (Unité)";30;14;166
181-UNITE;978-2-7067-0501-4;"Méditations sur Marie (arrêt commercial) (Unité)";0;0;42
193-UNITE;979-10-336-1459-3;"Méditer la parole avec la Vierge Marie (Unité)";136;0;54
124-UNITE;978-2-491255-67-1;"Neuvaine à l'Archange Saint Michel (Unité)";118;183;582
121-UNITE;978-2-491255-66-4;"Neuvaine à l'Immaculée avec Maximilien Kolbe (Unité)";722;6;56
100-UNITE;978-2-491255-48-0;"Neuvaine à l'Immaculée Conception (Unité)";335;13;120
146-UNITE;978-2-491255-78-7;"Neuvaine à la Miséricorde Divine (Unité)";232;51;389
228-UNITE;978-2-487056-20-6;"Neuvaine à la Vierge de l'Assomption (édition reportée) (Unité)";0;0;0
92-UNITE;978-2-491255-45-9;"Neuvaine à la Vierge Marie avec la petite Thérèse (Unité)";1231;127;439
226-UNITE;978-2-487056-11-4;"Neuvaine à Marie avec soeur Emmanuel de Medjugorje (Unité)";477;52;310
140-UNITE;978-2-491255-72-5;"Neuvaine à Marie qui défait les noeuds - Version originale 2022 (Unité)";184;1162;6634
195-UNITE;;"Neuvaine à Marie qui Défait les Nœuds - pack complet avec Bougie de Neuvaine (Unité)";20;4;64
198-UNITE;;"Neuvaine à Marie qui Défait les Nœuds édition reliée et enluminée - pack complet avec Bougie de Neuvaine (Unité)";9;4;102
142-UNITE;978-2-491255-77-0;"Neuvaine à Marie Reine des Coeurs (Unité)";174;4;117
170-UNITE;978-2-491255-99-2;"Neuvaine à Notre Dame de Guadalupe (Unité)";489;8;10
131-UNITE;978-2-491255-71-8;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Unité";389;3;3
131-UNITE;978-2-491255-71-8;"Neuvaine à Notre Dame de la Médaille Miraculeuse - Quantité: Lot de 5";20;0;0
101-UNITE;978-2-491255-56-5;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Unité";604;0;0
101-UNITE;978-2-491255-56-5;"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance - Quantité: Lot de 5";20;0;0
260-UNITE;978-2-487056-54-1;"Neuvaine à Notre Dame du Laus, refuge des pêcheurs - Quantité: Unité";0;0;0
260-UNITE;978-2-487056-54-1;"Neuvaine à Notre Dame du Laus, refuge des pêcheurs - Quantité: Lot de 5";0;0;0
88-UNITE;978-2-491255-41-1;"Neuvaine à Notre Dame du Mont-Carmel avec les saints du Carmel (Unité)";1677;11;79
96-UNITE;978-2-491255-49-7;"Neuvaine à Notre Dame Libératrice du Sanctuaire de Montligeon (Unité)";346;2;350
148-UNITE;978-2-491255-81-7;"Neuvaine à Padre Pio (Unité)";361;79;483
145-UNITE;978-2-491255-79-4;"Neuvaine à Saint Antoine de Padoue (Unité)";358;30;273
227-UNITE;978-2-487056-19-0;"Neuvaine à Saint Charbel (Unité)";460;233;619
182-UNITE;978-2-491255-80-0;"Neuvaine à Saint Jean Paul II _Témoin de la présence de Marie dans la vie de l’Église (Unité)";425;30;163
82-UNITE;978-2-491255-38-1;"Neuvaine à Saint Joseph pour la famille (Unité)";1996;26;388
85-UNITE;978-2-491255-40-4;"Neuvaine à saint Louis-Marie Grignion de Montfort (Unité)";2080;22;90
190-UNITE;978-2-487056-02-2;"Neuvaine à sainte Joséphine Bakhita (Unité)";365;27;818
225-UNITE;978-2-487056-10-7;"Neuvaine à Sainte Rita (Unité)";472;116;525
147-UNITE;;"Neuvaine à Saints Louis et Zélie Martin (Unité)";0;0;0
172-UNITE;978-2-487056-00-8;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Unité";248;0;0
172-UNITE;978-2-487056-00-8;"Neuvaine à Soeur Joséfa Menendèz - Quantité: Lot de 5";15;0;0
130-UNITE;978-2-491255-69-5;"Neuvaine à St Joseph pour préparer Noël en méditant les mystères de l'Avent (Unité)";662;5;334
217-UNITE;978-2-487056-09-1;"Neuvaine à Thomas d'Aquin avec la Vierge Marie (Unité)";544;7;386
117-UNITE;978-2-491255-63-3;"Neuvaine au Coeur Immaculé de Marie (Unité)";1066;24;225
162-UNITE;978-2-491255-93-0;"Neuvaine au Curé d'Ars (Unité)";482;13;265
216-UNITE;978-2-487056-08-4;"Neuvaine au précieux sang de Jésus (Unité)";414;100;770
87-UNITE;978-2-491255-33-6;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Unité";157;3;3
87-UNITE;978-2-491255-33-6;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies - Quantité: Lot de 5";13;1;1
86-UNITE;978-2-491255-39-8;"Neuvaine au Saint-Esprit avec Marie (Unité)";1632;151;631
104-UNITE;978-2-491255-59-6;"Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";384;31;129
141-UNITE;978-2-491255-76-3;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée - Quantité: Unité";549;1;1
141-UNITE;978-2-491255-76-3;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée - Quantité: Lot de 3";19;1;1
165-UNITE;978-2-491255-54-1;"Neuvaine Marie qui défait les noeuds pour le travail (Unité)";226;64;643
218-UNITE;;"Neuvaine Marie qui défait les noeuds _ version enfant (Unité)";0;0;0
123-UNITE;978-2-491255-55-8;"Neuvaine Marie qui défait les nœuds de la maladie - Version 2022 (Unité)";804;99;1363
122-UNITE;978-2-491255-53-4;"Neuvaine Marie qui défait les nœuds pour la famille - Version 2022 (Unité)";131;130;1314
169-UNITE;978-2-491255-98-5;"Neuvaine Marie qui défait les nœuds pour les couples (Unité)";2333;84;1295
189-UNITE;978-2-487056-01-5;"Neuvaine pour l'unité des Chrétiens (Unité)";512;2;415
37-UNITE;978-2-35689-086-3;"Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";-4;0;0
36-UNITE;978-2-35689-084-9;"Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";315;4;306
42-UNITE;978-2-35689-085-6;"Neuvaine pour les malades - Marie qui défait les nœuds (Unité)";-5;0;0
107-UNITE;978-2-491255-60-2;"Neuvaine pour méditer l'Annonciation (Unité)";393;7;23
134-UNITE;978-2491255-70-1;"Neuvaine Prions Marie pour la paix (Unité)";1271;43;230
81-UNITE;978-2-491255-35-0;"Neuvaine sur les pas de Bernadette pour redire « oui » à Dieu avec Marie (Unité)";4502;11;147
243-UNITE;978-35389-488-8;"Notre Dame de Guadalupe (Unité)";16;1;13
60-UNITE;978-2-35689-015-3;"Notre Dame qui défait les nœuds - Le cadeau du pape François au monde (Unité)";372;5;84
